dataset_id	modality	name	doi	openneuro_url	commit	payload
ds000247	MEG	MEG-BIDS OMEGA RestingState_sample	doi:10.18112/openneuro.ds000247.v1.0.2	https://openneuro.org/datasets/ds000247	e1e5f54e2cd8c8a220d322fb66615112e08f541a	metadata-only slice
ds001787	EEG	EEG meditation study	doi:10.18112/openneuro.ds001787.v1.1.1	https://openneuro.org/datasets/ds001787	ffbea891000d0d2b81f8780e57def420e4cb01a7	real payload
ds003020	fMRI	An fMRI dataset during a passive natural language listening task	doi:10.18112/openneuro.ds003020.v3.1.1	https://openneuro.org/datasets/ds003020	cb7c536d471d48ff95a90f0531d5e2bdb910a77a	real payload
ds003643	fMRI	Le Petit Prince: A multilingual fMRI corpus using ecological stimuli	doi:10.18112/openneuro.ds003643.v2.0.7	https://openneuro.org/datasets/ds003643	c0766f4b53f37ed44fbb4e044b53530caf354814	real payload
ds003676	fMRI	diffusion_fMRI	10.18112/openneuro.ds003676.v1.0.1	https://openneuro.org/datasets/ds003676	55a84efe1ca1f5256f80f20df5bc2804cbc571dc	real payload
ds003838	EEG	EEG, pupillometry, ECG and photoplethysmography, and behavioral data in the digit span task and rest	doi:10.18112/openneuro.ds003838.v1.0.6	https://openneuro.org/datasets/ds003838	2b2929557878cbd1278c7ef5281f6f875b74152a	real payload
ds004054	MRI	Aerobic Glycolysis Imaging PET-MRI	doi:10.18112/openneuro.ds004054.v1.0.0	https://openneuro.org/datasets/ds004054	709f1a6ef688bec0dca0e068ee5fce99d2402463	real payload
ds004199	MRI	An open presurgery MRI dataset of people with epilepsy and focal cortical dysplasia type II	doi:10.18112/openneuro.ds004199.v1.0.6	https://openneuro.org/datasets/ds004199	df7eff349056648098d3e080b7577d6f22fdd67f	real payload
ds004284	EEG	eeg-neuroforecasting	doi:10.18112/openneuro.ds004284.v1.0.0	https://openneuro.org/datasets/ds004284	4448eb947fec31025d237fa919d0022baada3e29	metadata-only slice
ds004346	MEG	FLUX: A pipeline for MEG analysis	doi:10.18112/openneuro.ds004346.v1.0.8	https://openneuro.org/datasets/ds004346	9bbbad55edebadd4ad6ef7b53e8db6b5852b3458	metadata-only slice
